CUI,CAEN,ACTIVE IMOBILIZATE - TOTAL,ACTIVE CIRCULANTE - TOTAL din care:,Stocuri,Creante,Casa si conturi la banci,CHELTUIELI IN AVANS,DATORII,VENITURI IN AVANS,PROVIZIOANE,CAPITALURI - TOTAL din care:,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,VENITURI TOTALE,CHELTUIELI TOTALE,Profitul brut,Pierdere bruta,Profitul net,Pierdere neta,Numar mediu de salariati
6608725,1105,435814361,127691214,19494457,78823163,27674876,10977053,191382370,,1517160,381583098,433381673,,571589066,582977893,588262056,0,5284163,0,5284163,677
6613926,4672,36020866,59741035,31849852,26604995,1286188,7607,42201072,277888,276604,53013944,150000,,170375048,171963927,164126995,7836932,0,6658816,0,236
6614115,5229,60374099,52776996,2165,46872326,5902505,1577681,43256998,166326,1379791,69925661,42000000,,228758469,231902723,223069778,8832945,0,7345383,0,558
6614131,4651,15642455,67771136,8755108,40158135,18857893,2722642,55145152,7250102,367609,23373370,2448000,,132072453,133658771,129528615,4130156,0,3875317,0,158
6614930,2041,17200943,55120200,19705002,33809426,1605772,227464,34839385,11856,1810885,35886481,94847,,134826473,136999673,130817019,6182654,0,5015935,0,210
6614956,1031,65459537,178661405,26654323,123816070,9256467,489529,125701610,10101,-92856,118991616,80212845,,554383126,571622489,537307586,34314903,0,28923975,0,714
6615609,4674,84562785,126037698,85176374,18131625,22729699,329628,53423266,,,157506845,7050,,154600942,163036621,137841142,25195479,0,21036722,0,326
6004672,1089,161670,153342,21968,13391,117983,,64713,,,250299,25000,,2139827,2139827,2071218,68609,0,57632,0,
6024769,2229,12453191,26514082,5638704,21810278,-934900,,23866897,667548,,14432828,500000,,94296864,95361217,89947579,5413638,0,4867107,0,443
6037009,4646,,1004381,,1004474,-93,,3433184,932616,,-3361419,600000,,100879,8364568,9398905,0,1034337,0,1034337,
6039328,4652,18508046,52415188,7924090,30399324,14091774,192294,19399019,14503,321892,51380114,400000,,86923280,88705788,85486683,3219105,0,2763550,0,61
