CUI,CAEN,ACTIVE IMOBILIZATE - TOTAL,ACTIVE CIRCULANTE - TOTAL din care:,Stocuri,Creante,Casa si conturi la banci,CHELTUIELI IN AVANS,DATORII,VENITURI IN AVANS,PROVIZIOANE,CAPITALURI - TOTAL din care:,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,VENITURI TOTALE,CHELTUIELI TOTALE,Profitul brut,Pierdere bruta,Profitul net,Pierdere neta,Numar mediu de salariati
9416392,4633,9210634,9227092,27633,7957880,1241579,-2171,14736830,,,3698725,4295620,,102442246,102632351,98875771,3756580,0,3250822,0,17
9452492,4742,567677,21445197,4529353,15978467,937377,73658,33072675,,534657,-11520800,5670840,,50398528,50502730,52230125,0,1727395,0,1727395,206
9509637,4322,7850294,12879109,4352243,6950883,1575983,1100708,11457554,,,10372557,100000,,28316918,28473828,28052516,421312,0,408250,0,270
9518767,4690,3194100,51285552,7180389,40153394,3951769,331852,19101018,0,1699478,34011008,7042,0,85365198,85928413,68787252,17141161,0,14612235,0,64
9526450,4665,3709430,27189724,4961173,20828879,1399672,476900,24527289,531947,389260,5927558,1641000,,63936811,64858691,63303905,1554786,0,1230488,0,23
9578386,4939,34494986,10605356,674677,9224368,706311,809470,19363655,,662696,25883461,2000000,,52635520,53171642,44462553,8709089,0,7320664,0,415
9582573,5829,10546796,60395519,,36757224,23638295,864124,27921596,3489737,,40395106,7155,,120481890,127128885,114582342,12546543,0,10502370,0,350
9602646,2120,17349594,23574801,9130822,11419523,3024456,,7950296,,,32974099,1000000,,55438774,56237398,44910507,11326891,0,9875866,0,50
9603757,4690,10457657,34269977,12159239,14331230,7779508,111064,23730169,,,21108529,1691815,,50295789,51322505,48287314,3035191,0,2463823,0,72
9637830,4520,21419823,9573894,6009956,3054960,508978,46105,15811950,428380,,14799492,343600,,39897079,40853679,38673300,2180379,0,1862753,0,94
9653097,6209,529116,32371899,925472,8715711,22730716,2550922,18603496,949348,,15899093,760000,,34560087,48819174,42779901,6039273,0,4623728,0,72
9653992,5210,239911865,7613830,379471,6071258,1163101,1290351,4595247,1438514,505056,242277229,68726400,,54989364,61121130,71870828,0,10749698,0,10749698,232
9656840,8622,1210531,599636,114835,473623,11178,,5243175,,,-3433008,10200,,5157238,5174402,6307701,0,1133299,0,1181590,50
9675370,4643,6243377,21711141,14480829,5572549,1657763,82752,23057940,,794919,4184411,1285000,,40600018,41318648,38191826,3126822,0,2350028,0,61
9717409,4646,8705501,19583074,396791,18954764,231519,11073,151363381,,6365055,-129428788,10857308,,19983376,20399407,21984558,0,1585151,0,1585151,48
18610087,4110,490098373,9560385,931,7646390,1913064,3035385,276103620,6575317,,220015206,1000,,41391328,45370726,62131598,0,16760872,0,16760872,
18621094,4791,742430,6392836,364970,3037306,2990560,177546,3257440,1944288,,2111084,200,,8542112,8564512,7315889,1248623,0,1248623,0,14
18627070,4211,4586897,27880936,1561204,25099119,1220613,,30852377,,,1615456,605000,,6429717,6429801,7211981,0,782180,0,782180,
18629020,1413,767793,19529751,12030586,6565686,933479,12853,12248013,,,8062384,349580,,47098899,48567566,47036139,1531427,0,1086346,0,303
18643548,4643,720830,36165201,20825950,14430552,908699,,24667350,,,12218681,301100,,109752667,110781688,106827333,3954355,0,3372559,0,26
18647655,1820,2333469,29778716,12391207,17046174,341335,267299,24765416,,,7614068,100000,,12284835,12837594,12244329,593265,0,589056,0,26
18648430,4759,1387297,22823207,16929836,1146851,825022,1442582,10037247,,,15615839,4000100,,119529533,119777261,107164954,12612307,0,10815719,0,182
18656602,2342,91194187,22016261,10581264,8357313,3077684,194773,36502414,12284,49477,76841046,115024950,,49841951,52540875,59245020,0,6704145,0,6704145,176
18693481,6020,409354,23903402,,14255047,9648355,666288,8364895,8037,420000,16186112,200,,45797515,46059159,41657822,4401337,0,3560372,0,31
